"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
98,-6.014227,37.532633,11,2015,4.25,1.58,5,2,40.47,"RDT",0.45,20.49,1307.48,0.29,51.72,0,"R",1002.12686186337,9333.1384656281
99,-6.939022,37.613255,12,2015,4.17,0.58,9,1,11.73,"RDT",0.35,23.21,814.2,0.58,57.46,0,"R",1010.14359873112,9230.50678501708
100,-6.014154,37.119496,12,2015,4.17,0.83,18,0,0,"RDT",0.29,26.7,855.33,0.67,49.98,0,"R",956.277755009268,9333.50997494047
101,-6.145564,36.875366,12,2015,4.83,1.75,7,0,0,"RDT",0.18,25.69,712.46,41.69,48.76,3.48,"U",929.09136943788,9319.14911837805
105,-6.090787,38.122393,12,2015,4.25,0.67,11,0,0,"RDT",0.3,29.14,841.7,0.59,57.75,0,"R",1067.54231505143,9324.06233592266
107,-6.73742,38.752972,10,2015,4.58,0.75,9,1,11.56,"RDT",0.4,28.31,1268.77,1.07,71.14,3.9,"U",1136.81865683185,9251.51792754209
108,-6.852292,38.945694,10,2015,4.42,2.33,6,1,16.69,"RDT",0.37,30.02,1014.64,0.17,69.71,0,"R",1158.06849081352,9238.49482951287
119,-6.764315,38.999027,10,2015,4.75,0.5,13,0,0,"RDT",0.32,29.41,1169.36,6.49,66.91,10.87,"U",1164.11427565025,9248.198745813
120,-6.75627,38.897267,10,2015,4.67,1.25,10,0,0,"RDT",0.35,28.71,1233.41,5.3,69.55,8.1,"U",1152.82053403355,9249.23145460719
121,-6.648498,38.781044,12,2015,4.33,0.83,12,2,17.24,"RDT",0.38,27.26,1273.91,0.61,69.18,0,"U",1140.05296431517,9261.36008370065
122,-6.803974,39.249664,9,2015,4.58,1.17,7,0,0,"RDT",0.15,27.92,1301.26,244.28,40.48,59.73,"U",1191.90959954879,9243.43694110102
123,-6.796621,39.240489,9,2015,3.58,1.33,10,0,0,"RDT",0.1,27.92,1301.26,499.15,41.79,59.79,"U",1190.90046054453,9244.26774455758
124,-6.778,39.264881,9,2015,4.92,0.75,7,0,0,"RDT",0.2,27.92,1301.26,114.14,41.17,59.72,"U",1193.63837817352,9246.30315764076
125,-6.812769,39.209655,9,2015,4,1.08,7,0,0,"RDT",0.2,29.78,1309.94,97.08,41.79,58.8,"U",1187.45044139842,9242.51658750606
126,-6.794752,39.22887,9,2015,4.83,0.75,9,0,0,"RDT",0.12,27.92,1301.26,345.76,41.79,59.73,"U",1189.61179315101,9244.49225175937
127,-6.776324,39.064105,9,2015,4.42,1,8,0,0,"RDT",0.3,29.22,1230.56,8.57,63.89,13.51,"U",1171.32821192939,9246.77390017929
128,-6.655681,39.186081,9,2015,4.25,1.25,11,0,0,"RDT",0.24,28.31,1196.46,58.57,60.25,46.57,"U",1185.0526619929,9260.0152390061
129,-6.630457,39.120269,9,2015,2.42,0.67,9,0,0,"RDT",0.33,29.27,1037.32,16.43,62.04,11.32,"U",1177.77195924466,9262.91069746922
130,-6.78031,39.247268,9,2015,4.33,1.92,4,0,0,"RDT",0.13,27.92,1301.26,255.68,41.17,59.81,"U",1191.67737075864,9246.07163586727
131,-6.75856,39.226783,10,2015,3.42,1.5,7,0,0,"RDT",0.31,29.17,1301.26,28.33,40.72,58.72,"U",1189.43165606352,9248.51934304729
132,-6.812689,39.149812,9,2015,4.5,0.83,15,0,0,"RDT",0.26,29.77,1309.94,66.75,62.41,21.65,"U",1180.80042832704,9242.61090454744
133,-6.797611,39.267411,9,2015,3.83,0.92,10,0,0,"RDT",0.22,27.92,1301.26,228.08,40.48,59.73,"U",1193.89128499107,9244.11885044996
134,-6.805139,39.178035,9,2015,2.67,0.83,4,0,0,"RDT",0.29,29.78,1309.94,41.23,57.85,39.59,"U",1183.94742589418,9243.41011209349
135,-6.809555,39.109037,9,2015,4.92,1.08,11,0,0,"RDT",0.25,29.29,1280.48,43.85,63.36,11.52,"U",1176.27409790733,9243.01701122384
136,-6.700249,39.134906,9,2015,4.75,0.5,17,0,0,"RDT",0.31,29.34,1161,7.43,63.32,8.05,"U",1179.30217413193,9255.13184566917
137,-6.869916,39.16743,9,2015,4.92,1.25,10,0,0,"RDT",0.31,29.02,1309.94,46.32,49.71,38.68,"U",1182.6762731386,9236.22362219444
138,-6.837261,39.235568,9,2015,4.58,0.92,7,0,0,"RDT",0.16,27.92,1301.26,332.48,42.68,59.58,"U",1190.2949213843,9239.7560894762
139,-6.826611,39.249123,10,2015,3.08,0.58,4,0,0,"RDT",0.17,27.92,1301.26,214.79,40.48,59.71,"U",1191.81676083642,9240.92066669556
140,-6.843191,39.226626,9,2015,3.17,0.5,8,0,0,"RDT",0.11,29.78,1301.26,283.35,42.68,59.07,"U",1189.29261918592,9239.10966627787
141,-6.832293,39.248254,10,2015,4.42,1.5,8,0,0,"RDT",0.1,27.92,1301.26,255.45,43.23,59.76,"U",1191.71195629624,9240.29013161438
143,-6.84307,39.199228,10,2015,4.83,1.25,10,0,0,"RDT",0.22,29.78,1309.94,76.66,49.71,53.78,"U",1186.24816660185,9239.16261510932
144,-6.907758,39.222257,9,2015,4.67,1.17,17,0,0,"RDT",0.28,28.88,1264.98,50.08,55.69,19.05,"U",1188.71339309519,9231.93700215035
145,-6.839872,39.150381,9,2015,4.25,0.92,6,0,0,"RDT",0.25,29.77,1309.94,31.82,62.13,19.82,"U",1180.82494684922,9239.58811632286
